timestamp,sys-0,sys-1,sys-2,sys-3
1522592880029,26,1,3,0
1522592881029,15,1,8,0
1522592882029,0,0,20,0
1522592883029,0,0,0,0
1522592884029,0,0,0,0
1522592885029,0,0,0,0
1522592886029,0,0,0,0
1522592887029,3,0,63,0
1522592888029,1,0,9,0
1522592889029,2,0,4,0
1522592890029,2,0,19,1
1522592891029,2,0,21,0
1522592892029,3,0,0,0
1522592893029,4,0,4,0
1522592894029,10,0,0,0
1522592895029,10,0,0,0
1522592896029,10,0,0,0
1522592897029,9,0,53,0
1522592898029,10,0,16,0
1522592899029,11,0,0,0
1522592900029,11,0,0,0
1522592901029,11,0,0,0
1522592902029,11,0,0,0
1522592903029,11,0,0,0
1522592904029,11,0,0,0
1522592905029,30,8,26,1
1522592906029,31,10,1,0
1522592907029,20,1,3,0
1522592908029,3,1,26,0
1522592909029,0,0,0,0
1522592910029,0,0,0,0
1522592911029,0,0,0,0
1522592912029,0,0,0,0
1522592913029,0,0,40,0
1522592914029,3,0,28,0
1522592915029,1,0,1,0
1522592916029,2,0,8,1
1522592917029,2,0,21,0
1522592918029,2,0,15,0
1522592919029,3,0,0,0
1522592920029,8,0,4,0
1522592921029,10,0,0,0
1522592922029,10,0,0,0
1522592923029,10,0,0,0
1522592924029,9,0,69,0
1522592925029,10,0,0,0
1522592926029,11,0,0,0
1522592927029,11,0,0,0
1522592928029,11,0,0,0
1522592929029,11,0,0,0
1522592930029,11,0,0,0
1522592931029,40,18,34,1
1522592932029,25,1,3,0
1522592933029,17,1,4,0
1522592934029,0,0,22,0
1522592935029,0,0,0,0
1522592936029,0,0,0,0
1522592937029,0,0,0,0
1522592938029,0,0,0,0
1522592939029,3,0,55,0
1522592940029,1,0,9,0
1522592941029,2,0,4,0
1522592942029,2,0,25,1
1522592943029,2,0,15,0
1522592944029,3,0,0,0
1522592945029,4,0,4,0
1522592946029,10,0,0,0
1522592947029,10,0,0,0
1522592948029,10,0,0,0
1522592949029,10,0,53,0
1522592950029,10,0,16,0
1522592951029,11,0,0,0
1522592952029,11,0,0,0
1522592953029,11,0,0,0
1522592954029,11,0,0,0
1522592955029,11,0,0,0
1522592956029,26,7,33,1
1522592957029,34,11,1,0
1522592958029,22,1,3,0
1522592959029,4,1,18,0
1522592960029,0,0,10,0
1522592961029,0,0,0,0
1522592962029,0,0,0,0
1522592963029,0,0,0,0
1522592964029,0,0,29,0
1522592965029,3,0,39,0
1522592966029,1,0,1,0
1522592967029,2,0,14,1
1522592968029,2,0,30,0
1522592969029,2,0,0,0
1522592970029,3,0,0,0
1522592971029,4,0,4,0
1522592972029,10,0,0,0
1522592973029,10,0,0,0
1522592974029,10,0,0,0
1522592975029,9,0,69,0
1522592976029,11,0,0,0
1522592977029,11,0,0,0
1522592978029,11,0,0,0
1522592979029,11,0,0,0
1522592980029,11,0,0,0
1522592981029,11,0,0,0
1522592982029,40,18,34,1
1522592983029,25,1,3,0
1522592984029,15,1,6,0
1522592985029,0,0,20,0
1522592986029,0,0,0,0
1522592987029,0,0,0,0
1522592988029,0,0,0,0
1522592989029,0,0,0,0
1522592990029,3,0,60,0
1522592991029,1,0,9,0
1522592992029,2,0,4,0
1522592993029,2,0,25,1
1522592994029,2,0,15,0
1522592995029,3,0,0,0
1522592996029,6,0,4,0
1522592997029,10,0,0,0
1522592998029,10,0,0,0
1522592999029,10,0,0,0
1522593000029,9,0,58,0
